,ltt,lgt,land_no,cluster
1037,13.902034050530274,100.71016553197389,51758,6
1038,13.90202369836682,100.71009734245492,51759,6
1039,13.901947430296778,100.7099952995614,51760,6
1040,13.90198487701912,100.70999126568432,51761,6
1041,13.902022989172272,100.70998400460188,51762,6
1042,13.902059428933535,100.70997686415645,51763,6
1043,13.901580288884713,100.70975321692988,51764,6
1044,13.901544874118104,100.709759827891,51765,6
1045,13.901509682746836,100.70976455773553,51766,6
1046,13.901475612211607,100.70977027434104,51767,6
1047,13.90143912962124,100.7097794219828,51768,6
1048,13.90140119149369,100.70978179324446,51769,6
1049,13.901366830538745,100.70979092320788,51770,6
1050,13.901334539503257,100.7097929981888,51771,6
1051,13.901369153849425,100.70967490447396,51772,6
1052,13.901360229834223,100.70961484020496,51773,6
1053,13.901349090657202,100.70955901766338,51774,6
1054,13.901340624577273,100.7095028243601,51775,6
1055,13.901330764670467,100.70944667420514,51776,6
1056,13.901322152717793,100.7093909672182,51777,6
1057,13.901311610360665,100.70933620460532,51778,6
1058,13.901300476201143,100.7092735033239,51779,6
1059,13.901284703598344,100.70917454895398,51780,6
1060,13.90127644580119,100.70912700102768,51781,6
1061,13.90126831954344,100.70908617847871,51782,6
1062,13.90141528218978,100.70906367421298,51871,6
1063,13.90141767527377,100.70910384402012,51872,6
1064,13.901424936275214,100.7091505519125,51873,6
1065,13.90144072050452,100.70924864357204,51874,6
1066,13.901451668007535,100.7093112935758,51875,6
1067,13.901460474433332,100.70936686605008,51876,6
1068,13.901470421089307,100.70942159029548,51877,6
1069,13.901479548532864,100.70947821168294,51878,6
1070,13.901488395181785,100.70953379280422,51879,6
1071,13.90149881773272,100.7095891468261,51880,6
1072,13.901509289330592,100.70964986791684,51881,6
1073,13.90169279715521,100.70973398111246,51882,6
1074,13.901728710942177,100.70972615256149,51883,6
1075,13.90176536253537,100.70972053336422,51884,6
1076,13.901799419958987,100.70971303559068,51885,6
1077,13.90172721929456,100.70961135553708,51886,6
1078,13.901715780176133,100.70955097706909,51887,6
1079,13.901706589584554,100.7094950384255,51888,6
1080,13.901695744455164,100.70943981446176,51889,6
1081,13.901687344959296,100.70938393609188,51890,6
1082,13.901677860616855,100.7093281962729,51891,6
1083,13.901669013424716,100.70927297390044,51892,6
1084,13.901657906232671,100.70921197436628,51893,6
1085,13.901641224987424,100.70911286282552,51894,6
1086,13.901635428591554,100.7090698242332,51895,6
1087,13.901540741239227,100.70924748688972,51941,6
1088,13.90193019189767,100.7108101710089,51944,6
